160092;Perez;Ana;Buga;19;3;Femenino
949979;Garcia;Camilo;Buga;21;9;Masculino
619495;Serna;Lucia;Buga;21;1;Masculino
627161;Rios;Luis;Trujillo;25;8;Femenino
379094;Perez;Camilo;Tulua;26;8;Femenino
12704;Hernandez;Luis;Tulua;18;6;Femenino
263188;Arias;Lorena;Buga;24;10;Masculino
27979;Mena;Sandra;Darien;24;2;Masculino
547334;Perez;Pepe;Zarzal;24;3;Masculino
885932;Serna;Ana;Zarzal;25;2;Masculino
303638;Mena;Pepe;Darien;19;6;Femenino
129306;Arias;Sandra;Cali;24;2;Masculino
473848;Garcia;Pablo;Palmira;23;1;Femenino
382406;Hernandez;Sandra;Trujillo;25;6;Masculino
378498;Martinez;Lucia;Cali;20;2;Femenino
737334;Martinez;Lorena;Cali;26;9;Masculino
433292;Castro;Juan;Cali;26;7;Masculino
569564;Perez;Sandra;Tulua;24;7;Masculino
882615;Perez;Luis;Zarzal;18;1;Femenino
550818;Serna;Luis;Buga;21;8;Masculino
719014;Arias;Pablo;Buga;26;8;Femenino
395842;Martinez;Lorena;Cali;19;7;Femenino
247272;Hernandez;Lucia;Darien;21;5;Masculino
30595;Hernandez;Luis;Palmira;25;6;Femenino
98119;Serna;Camilo;Cali;24;5;Masculino
130323;Cobo;Sandra;Tulua;20;8;Masculino
791360;Arias;Lorena;Buga;22;8;Masculino
464917;Castro;Luis;Cartago;19;9;Masculino
98493;Cobo;Lorena;Trujillo;27;4;Masculino
964883;Garcia;Juan;Tulua;24;7;Masculino
633526;Cobo;Juan;Buga;22;3;Masculino
533346;Perez;Camilo;Palmira;22;1;Masculino
996218;Garcia;Lucia;Darien;22;10;Masculino
168033;Garcia;Juan;Cartago;25;2;Femenino
858446;Perez;Juan;Cali;27;1;Masculino
102665;Serna;Pepe;Buga;25;7;Masculino
91552;Garcia;Sandra;Trujillo;22;10;Femenino
250922;Mena;Juan;Cartago;19;9;Masculino
115712;Rios;Lucia;Tulua;21;10;Masculino
950131;Cobo;Pablo;Zarzal;27;4;Masculino
362605;Cobo;Pablo;Palmira;21;6;Femenino
708537;Serna;Ana;Zarzal;27;10;Femenino
96434;Castro;Pepe;Cartago;25;6;Femenino
602574;Cobo;Luis;Zarzal;18;9;Masculino
868088;Arias;Lucia;Darien;27;5;Masculino
32896;Perez;Lorena;Palmira;25;3;Masculino
880515;Martinez;Camilo;Tulua;19;9;Femenino
504282;Rios;Luis;Darien;24;9;Femenino
333980;Castro;Camilo;Cartago;20;1;Femenino
860084;Perez;Juan;Zarzal;19;3;Femenino
976639;Rios;Lucia;Zarzal;19;6;Femenino
282237;Hernandez;Sandra;Palmira;26;8;Femenino
203673;Rios;Pepe;Palmira;26;3;Femenino
309269;Garcia;Lucia;Buga;18;6;Masculino
987391;Hernandez;Luis;Trujillo;20;8;Masculino
964218;Cobo;Juan;Cartago;26;2;Masculino
57165;Hernandez;Ana;Buga;23;9;Masculino
799371;Rios;Pablo;Buga;24;8;Femenino
223497;Cobo;Camilo;Trujillo;23;2;Masculino
623414;Mena;Lorena;Tulua;18;1;Masculino
712047;Martinez;Luis;Palmira;24;2;Masculino
887854;Serna;Camilo;Buga;27;2;Masculino
264049;Serna;Caro;Tulua;24;10;Femenino
72651;Mena;Lucia;Zarzal;27;6;Femenino
507564;Mena;Juan;Cartago;18;5;Masculino
966135;Mena;Sandra;Zarzal;19;7;Masculino
413681;Rios;Ana;Cartago;24;4;Femenino
911950;Perez;Sandra;Buga;19;2;Femenino
242707;Rios;Camilo;Buga;23;4;Masculino
967410;Hernandez;Luis;Tulua;19;9;Masculino
242990;Mena;Camilo;Buga;26;4;Femenino
445083;Perez;Camilo;Cartago;20;10;Femenino
990299;Rios;Pablo;Cartago;19;10;Masculino
595219;Cobo;Lucia;Buga;24;3;Masculino
915122;Mena;Sandra;Darien;20;3;Femenino
723953;Castro;Camilo;Darien;27;1;Masculino
541257;Rios;Lucia;Tulua;24;3;Masculino
964890;Hernandez;Lucia;Cali;21;2;Femenino
799292;Garcia;Sandra;Cartago;21;4;Femenino
254011;Arias;Juan;Cartago;25;5;Masculino
546683;Garcia;Pepe;Cali;27;8;Masculino
964994;Castro;Ana;Zarzal;26;3;Masculino
951085;Garcia;Sandra;Buga;25;5;Masculino
699631;Castro;Pablo;Cali;18;5;Masculino
520171;Castro;Ana;Cali;26;5;Femenino
92279;Castro;Caro;Zarzal;22;4;Femenino
399776;Martinez;Juan;Buga;19;10;Masculino
265242;Garcia;Ana;Tulua;27;9;Femenino
738686;Castro;Ana;Buga;20;3;Masculino
991069;Serna;Caro;Buga;23;4;Femenino
824468;Castro;Juan;Tulua;18;1;Femenino
296191;Perez;Ana;Buga;18;3;Masculino
737616;Cobo;Ana;Palmira;25;7;Femenino
436894;Hernandez;Caro;Buga;24;3;Masculino
123725;Serna;Caro;Zarzal;27;9;Masculino
42734;Mena;Caro;Cali;23;10;Femenino
